/

D D NOMBRE                         NOMBRE                         T CODIGO  DESCRIPCION                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
- - ------------------------------ ------------------------------ - ------- ------------------------------                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
A G ADMINISTRACION                 SERVICIOS GENERALES/TELEFÓNICO S T0006   CHEQUE PROTESTADO                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
A G ADMINISTRACION                 SERVICIOS GENERALES/TELEFÓNICO S T0002   COMISION TS TARJ CRED                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
A L ADMINISTRACION                 GENERAL                        S L0001   COMPRAS EN FARMACIA EXTERNA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
A L ADMINISTRACION                 GENERAL                        S L0002   HONORARIOS MEDICOS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
C 1 Consulta Externa               CONSULTORIO UNO                P C0001   COLPOSCOPIA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
C 1 Consulta Externa               CONSULTORIO UNO                P C0002   CONOLLETZ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
C 1 Consulta Externa               CONSULTORIO UNO                S C0013   CONSULTA CLINICA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
C 1 Consulta Externa               CONSULTORIO UNO                P C0004   ELECTROFULGURACION CAUTERIZACI                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
C 1 Consulta Externa               CONSULTORIO UNO                P C00016  HISTEROSCOPIA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
