/

L SE NOMBRE                                                                           SU NOMBRE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
- -- -------------------------------------------------------------------------------- -- --------------------------------------------------------------------------------                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
B 01 INSTRUMENTAL MEDICO MENOR                                                        01 AGUJAS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
B 01 INSTRUMENTAL MEDICO MENOR                                                        02 APOSITOS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
B 01 INSTRUMENTAL MEDICO MENOR                                                        03 JERINGUILLAS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
B 01 INSTRUMENTAL MEDICO MENOR                                                        04 SUTURAS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
B 01 INSTRUMENTAL MEDICO MENOR                                                        05 ALCOHOLES Y AGUAS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
B 01 INSTRUMENTAL MEDICO MENOR                                                        06 GUANTES                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
B 01 INSTRUMENTAL MEDICO MENOR                                                        07 VENDAS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
B 01 INSTRUMENTAL MEDICO MENOR                                                        08 AGUJAS EXAMENES ESPECIALES                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
B 01 INSTRUMENTAL MEDICO MENOR                                                        09 FUNDAS E INSUMOS PARA OSTOMIAS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
B 01 INSTRUMENTAL MEDICO MENOR                                                        10 CANULAS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
B 01 INSTRUMENTAL MEDICO MENOR                                                        11 APROXIMADORES GRAPAS Y RECARGAS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
B 01 INSTRUMENTAL MEDICO MENOR                                                        12 EQUIPOS PARA SOLUCIONES                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
B 01 INSTRUMENTAL MEDICO MENOR                                                        13 MASCARILLAS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
B 01 INSTRUMENTAL MEDICO MENOR                                                        14 SOLUCIONES DESINFECTANTES                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
B 01 INSTRUMENTAL MEDICO MENOR                                                        15 FUNDAS Y SONDAS PARA ALIMENTACION                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
B 01 INSTRUMENTAL MEDICO MENOR                                                        16 GASAS COMPRESAS Y ALGODONES                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
B 01 INSTRUMENTAL MEDICO MENOR                                                        17 INSUMOS TRAUMATOLOGIA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
B 01 INSTRUMENTAL MEDICO MENOR                                                        18 INSUMOS DESCARTABLES ASEO PERSONAL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
B 01 INSTRUMENTAL MEDICO MENOR                                                        19 VARIOS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
B 01 INSTRUMENTAL MEDICO MENOR                                                        20 HEMOSTATICOS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
B 01 INSTRUMENTAL MEDICO MENOR                                                        21 HOJAS BISTURI                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
B 01 INSTRUMENTAL MEDICO MENOR                                                        22 MATERIAL PARA ESTERILIZACION                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
B 01 INSTRUMENTAL MEDICO MENOR                                                        23 BALONES                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
B 01 INSTRUMENTAL MEDICO MENOR                                                        24 GUIAS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
B 01 INSTRUMENTAL MEDICO MENOR                                                        25 BOLSAS VARIOS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
B 01 INSTRUMENTAL MEDICO MENOR                                                        26 SONDAS Y TUBOS VARIOS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
B 01 INSTRUMENTAL MEDICO MENOR                                                        27 TROCARES Y REDUCTORES                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
B 01 INSTRUMENTAL MEDICO MENOR                                                        28 DRENES LATEX                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
B 01 INSTRUMENTAL MEDICO MENOR                                                        29 CATETER                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
B 01 INSTRUMENTAL MEDICO MENOR                                                        30 ESPARADRAPOS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
B 01 INSTRUMENTAL MEDICO MENOR                                                        31 IMPLANTOFIX                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
B 01 INSTRUMENTAL MEDICO MENOR                                                        32 PAPELES                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
B 01 INSTRUMENTAL MEDICO MENOR                                                        33 PERICRANEALES                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
B 01 INSTRUMENTAL MEDICO MENOR                                                        34 PROTESIS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
B 01 INSTRUMENTAL MEDICO MENOR                                                        35 SONDAS FOLLEY  2 VIAS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
B 01 INSTRUMENTAL MEDICO MENOR                                                        36 SONDAS FOLLEY 3 VIAS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
B 01 INSTRUMENTAL MEDICO MENOR                                                        37 UNIDADES DE SUCCION                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
B 01 INSTRUMENTAL MEDICO MENOR                                                        38 VALVULAS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
B 01 INSTRUMENTAL MEDICO MENOR                                                        39 SONDA NELATON                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
B 01 INSTRUMENTAL MEDICO MENOR                                                        40 FRESAS Y SIERRAS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
B 01 INSTRUMENTAL MEDICO MENOR                                                        41 TERMOMETROS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
B 01 INSTRUMENTAL MEDICO MENOR                                                        42 VENDAS ELASTICAS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
B 01 INSTRUMENTAL MEDICO MENOR                                                        43 TAPONES                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
